robot_name,cheesecake
time_ms,left,center,right
378,166,2,129
388,166,2,129
399,166,2,129
412,166,2,129
422,166,2,129
433,166,2,129
445,166,2,129
455,166,2,129
466,166,2,129
477,166,2,129
488,166,2,129
498,92,37,74
510,92,37,74
522,92,37,74
534,92,37,74
546,92,37,74
557,92,37,74
569,92,59,166
580,92,59,166
590,92,59,166
601,92,59,166
614,92,59,166
624,92,59,166
636,92,59,166
648,18,43,18
658,18,43,18
669,18,43,18
680,18,43,18
691,18,43,18
703,18,43,18
713,18,43,18
724,18,43,18
736,18,43,18
746,111,70,92
757,111,70,92
767,111,70,92
777,111,70,92
787,111,70,92
804,111,70,92
815,111,70,92
826,111,70,92
836,0,68,55
847,0,68,55
859,0,68,55
872,0,68,55
883,0,68,55
894,0,68,55
907,0,68,55
919,0,68,55
930,0,68,55
941,0,68,55
952,0,68,55
963,0,68,55
975,0,68,55
986,148,107,129
997,148,107,129
1010,148,107,129
1021,148,107,129
1031,148,107,129
1042,148,107,129
1053,148,107,129
1064,148,107,129
1076,148,107,129
1088,148,107,129
1099,92,107,92
1109,92,107,92
1120,92,107,92
1131,222,119,129
1144,222,119,129
1155,222,119,129
1166,222,119,129
1179,222,119,129
1190,222,119,129
1201,222,119,129
1213,222,119,129
1224,981,745,1000
1235,981,745,1000
1248,981,745,1000
1259,981,745,1000
1271,981,745,1000
1282,981,745,1000
1294,981,745,1000
1304,981,745,1000
1317,981,745,1000
1328,981,745,1000
1339,981,719,888
1349,981,719,888
1360,981,719,888
1372,981,719,888
1383,981,719,888
1395,981,719,888
1407,55,0,37
1418,55,0,37
1430,55,0,37
1442,55,0,37
1453,55,0,37
1466,55,0,37
1478,55,0,37
1489,92,0,74
1500,92,0,74
1512,92,0,74
1523,92,0,74
1535,92,0,74
1548,92,0,74
1558,92,0,74
1569,92,0,74
1582,92,0,74
1593,92,0,74
1604,92,0,74
1614,129,0,37
1625,129,0,37
1636,129,0,37
1647,129,0,37
1658,129,0,37
1668,129,0,37
1680,129,0,37
1692,129,0,37
1704,74,0,18
1715,74,0,18
1726,74,0,18
1737,74,0,18
1748,74,0,18
1759,74,0,18
1770,74,0,18
1783,74,0,18
1795,0,0,0
1807,0,0,0
1818,0,0,0
1831,0,0,0
1842,0,0,0
1853,0,0,0
1866,0,0,0
1876,0,0,0
1888,74,0,37
1901,74,0,37
1911,74,0,37
1923,74,0,37
1935,74,0,37
1946,74,0,37
1957,74,0,37
1968,944,710,851
1979,944,710,851
1992,944,710,851
2004,944,710,851
2015,944,710,851
2026,944,710,851
2038,944,710,851
2049,944,710,851
2060,92,0,92
2071,92,0,92
2082,92,0,92
2095,92,0,92
2107,92,0,92
2119,92,0,92
2130,92,0,92
2143,92,0,92
2156,92,0,92
2166,92,0,92
2176,92,0,92
2187,18,0,0
2200,18,0,0
2210,18,0,0
2221,18,0,0
2233,18,0,0
2244,18,0,0
2256,18,0,0
2268,18,0,0
2279,37,0,0
2290,37,0,0
2301,37,0,0
2312,37,0,0
2324,37,0,0
2336,37,0,0
2347,37,0,0
2358,55,0,55
2371,55,0,55
2381,55,0,55
2392,55,0,55
2405,55,0,55
2415,55,0,55
2426,55,0,55
2439,55,0,55
2449,0,0,0
2459,0,0,0
2470,0,0,0
2481,0,0,0
2492,0,0,0
2504,0,0,0
2515,0,0,0
2526,0,0,0
2537,0,0,0
2548,74,0,92
2559,74,0,92
2572,74,0,92
2584,74,0,92
2597,74,0,92
2608,74,0,92
2620,74,0,92
2632,1000,671,944
2643,1000,671,944
