robot_name,cheesecake
time_ms,left,center,right
338,94,24,75
348,94,24,75
361,94,24,75
372,94,24,75
383,94,24,75
396,94,24,75
406,94,24,75
419,94,24,75
429,94,0,75
439,94,0,75
452,94,0,75
465,94,0,75
476,94,0,75
489,94,0,75
499,94,0,75
511,94,0,75
522,37,0,37
533,37,0,37
545,37,0,37
557,37,0,37
568,37,0,37
580,37,0,37
592,37,0,37
607,37,0,37
618,0,22,56
629,0,22,56
641,0,22,56
654,0,22,56
665,0,22,56
676,0,22,56
689,0,22,56
701,132,88,132
711,132,88,132
721,132,88,132
731,132,88,132
741,132,88,132
754,132,88,132
765,132,88,132
775,132,88,132
786,132,88,132
798,18,90,37
809,18,90,37
820,18,90,37
831,18,90,37
842,18,90,37
853,18,90,37
865,18,90,37
876,18,90,37
887,132,121,132
898,132,121,132
909,132,121,132
920,132,121,132
931,132,121,132
942,132,121,132
952,132,121,132
962,132,121,132
975,132,121,132
987,132,121,132
999,132,121,132
1010,132,121,132
1023,132,121,132
1034,37,132,37
1045,37,132,37
1059,37,132,37
1072,37,132,37
1082,37,132,37
1093,150,157,113
1105,150,157,113
1117,150,157,113
1127,150,157,113
1138,150,157,113
1149,150,157,113
1161,150,157,113
1172,150,157,113
1183,905,690,830
1194,905,690,830
1205,905,690,830
1217,905,690,830
1229,905,690,830
1239,905,690,830
1252,905,690,830
1262,905,690,830
1274,1000,768,1000
1286,1000,768,1000
1296,1000,768,1000
1308,1000,768,1000
1319,1000,768,1000
1330,1000,768,1000
1342,1000,768,1000
1352,1000,768,1000
1363,1000,768,1000
1375,1000,768,1000
1386,1000,768,1000
1396,1000,768,1000
1407,1000,768,1000
1418,207,86,169
1428,207,86,169
1440,207,86,169
1450,56,0,18
1461,56,0,18
1473,56,0,18
1486,56,0,18
1496,56,0,18
1509,56,0,18
1519,56,0,18
1530,56,0,18
1541,56,0,18
1552,56,0,18
1562,56,0,18
1574,0,0,0
1584,0,0,0
1595,0,0,0
1607,0,0,0
1619,0,0,0
1631,0,0,0
1643,0,0,0
1654,0,0,0
1666,0,0,0
1679,0,0,0
1690,0,0,0
1702,0,0,0
1714,0,0,0
1725,0,0,0
1737,0,0,0
1748,0,0,0
1759,0,0,0
1770,0,0,0
1783,0,0,0
1795,0,0,0
1806,0,0,0
1816,0,0,0
1828,0,0,0
1839,18,0,0
1850,18,0,0
1863,18,0,0
1873,18,0,0
1885,18,0,0
1895,18,0,0
1908,18,0,0
1919,18,0,0
1930,377,111,150
1941,377,111,150
1952,377,111,150
1969,377,111,150
1980,377,111,150
1990,377,111,150
2001,377,111,150
2012,377,111,150
2023,698,576,754
2034,698,576,754
2045,698,576,754
2056,698,576,754
2069,698,576,754
2080,698,576,754
2091,698,576,754
2104,698,576,754
2114,698,576,754
2125,698,576,754
2136,698,576,754
2147,0,0,0
2160,0,0,0
2172,0,0,0
2183,0,0,0
2194,0,0,0
2207,0,0,0
2218,0,0,0
2228,37,0,0
2238,37,0,0
2249,37,0,0
2261,37,0,0
2274,37,0,0
2285,37,0,0
2298,37,0,0
2310,37,0,0
2321,37,0,0
2332,37,0,0
2344,37,0,0
2355,37,47,18
2366,37,47,18
2377,37,47,18
2389,37,47,18
2401,37,47,18
2412,37,0,37
2423,37,0,37
2436,37,0,37
2447,37,0,37
2458,37,0,37
2470,37,0,37
2482,37,0,37
2494,37,0,37
2506,0,0,0
2519,0,0,0
2530,0,0,0
2543,0,0,0
2554,0,0,0
2566,0,0,0
2577,0,0,0
2588,905,650,924
2598,905,650,924
2609,905,650,924
2622,905,650,924
2632,905,650,924
2642,905,650,924
2653,905,650,924
2663,905,650,924
2679,905,650,924
2691,905,650,924
2702,905,650,924
2714,962,584,924
2724,962,584,924
2737,962,584,924
2749,962,584,924
2761,962,584,924
2773,962,584,924
2784,962,584,924
2796,962,584,924
2806,94,0,56
2817,94,0,56
2828,94,0,56
2839,94,0,56
2852,94,0,56
2863,94,0,56
2875,94,0,56
2886,94,0,56
2897,0,0,0
2908,0,0,0
2919,0,0,0
2930,0,0,0
2941,0,0,0
2952,0,0,0
2964,0,0,0
2974,0,0,0
2986,0,0,0
2998,0,0,0
3009,0,0,0
3020,0,0,0
3033,0,0,0
3044,0,0,0
3056,0,0,0
3066,75,0,0
3077,75,0,0
3090,75,0,0
3102,75,0,0
3113,75,0,0
3126,75,0,0
3136,75,0,0
3147,75,0,0
3159,75,0,0
3169,75,0,0
3181,75,0,0
3192,56,0,37
3203,56,0,37
3214,56,0,37
3227,56,0,37
3238,56,0,37
3250,56,0,37
3263,56,0,37
3273,56,0,37
3284,0,0,0
3298,0,0,0
3308,0,0,0
3320,0,0,0
3332,0,0,0
3344,0,0,0
3355,0,0,0
3367,0,0,0
3378,0,0,0
3391,0,0,0
3401,0,0,0
3413,0,0,0
3424,0,0,0
3435,0,0,0
3446,0,0,0
3458,0,0,0
3469,0,0,0
3480,0,0,0
3493,0,0,0
3503,0,0,0
3514,0,0,0
3526,0,0,0
3536,0,0,0
3546,0,0,0
3557,75,0,94
3569,75,0,94
3580,75,0,94
3591,75,0,94
3602,75,0,94
3615,75,0,94
3627,75,0,94
3638,75,0,94
3650,75,0,94
3662,75,0,94
3674,37,0,18
3685,37,0,18
3695,37,0,18
3707,37,0,18
3719,37,0,18
3730,37,0,18
3741,37,0,18
3754,37,0,18
3764,37,0,18
3775,37,0,18
3788,37,0,18
3799,37,0,18
3814,37,0,18
3824,37,0,18
3834,37,0,18
3846,37,0,18
3856,37,0,18
3868,37,0,18
3879,584,55,452
3889,584,55,452
3901,584,55,452
3914,584,55,452
3925,584,55,452
3935,584,55,452
3948,584,55,452
3958,584,55,452
3969,584,55,452
3980,584,55,452
3990,584,55,452
4001,0,0,0
4013,0,0,0
4023,0,0,0
4034,0,0,0
4045,0,0,0
4056,0,0,0
4067,0,0,0
4079,0,0,0
