robot_name,biscuit
time_ms,left,center,right
391,0,1000,0
403,0,1000,0
416,0,1000,0
428,0,1000,0
439,0,1000,0
450,0,1000,0
461,0,1000,0
472,0,1000,0
485,0,1000,0
500,0,1000,0
513,0,1000,0
524,0,1000,0
535,0,1000,0
547,0,0,0
557,0,0,0
569,0,0,0
582,0,0,0
593,0,0,0
603,0,0,0
616,0,0,0
626,0,0,0
638,0,0,0
651,0,0,0
661,0,0,0
672,0,0,0
684,0,0,0
695,0,0,0
706,0,0,0
718,0,0,0
730,0,0,0
741,0,0,0
752,0,1000,0
762,0,1000,0
775,0,1000,0
786,0,1000,0
796,0,1000,0
809,0,1000,0
822,0,1000,0
833,0,1000,0
844,1000,1000,0
857,1000,1000,0
868,1000,1000,0
879,1000,1000,0
891,1000,1000,0
903,1000,1000,0
915,1000,1000,0
926,1000,1000,0
939,1000,1000,0
951,1000,1000,0
961,1000,1000,0
974,1000,1000,0
987,1000,1000,0
997,1000,1000,0
1009,1000,1000,0
1020,1000,1000,0
1031,1000,1000,0
1044,1000,1000,0
1055,1000,1000,0
1067,1000,1000,0
1079,1000,1000,0
1090,1000,1000,0
1103,1000,1000,0
1115,1000,1000,0
1126,1000,1000,0
1138,0,1000,0
1148,0,1000,0
1159,0,1000,0
1172,0,1000,0
1185,0,1000,0
1197,0,1000,0
1208,1000,1000,0
1219,1000,1000,0
1230,1000,1000,0
1243,1000,1000,0
1253,1000,1000,0
1265,1000,1000,0
1275,1000,1000,0
1286,1000,1000,0
1297,1000,1000,0
1310,1000,1000,0
1321,1000,1000,0
1332,1000,1000,0
1345,1000,1000,0
1357,1000,1000,0
1368,1000,1000,0
1380,1000,1000,0
1390,1000,1000,0
1400,1000,1000,0
1413,1000,1000,0
1424,1000,1000,0
1435,1000,1000,0
1448,1000,1000,0
1460,1000,1000,0
1470,1000,1000,1000
1483,1000,1000,1000
1495,1000,1000,1000
1506,1000,1000,1000
1517,1000,1000,1000
1527,1000,1000,1000
1538,1000,1000,1000
1549,1000,1000,1000
1560,1000,1000,1000
1571,1000,1000,1000
1584,1000,1000,1000
1596,1000,1000,1000
1607,1000,1000,1000
1618,1000,1000,1000
1630,1000,1000,1000
1640,1000,1000,1000
1651,1000,1000,0
1662,1000,1000,0
1673,1000,1000,0
1685,1000,0,1000
1696,1000,0,1000
1707,1000,0,1000
1719,1000,0,1000
1729,1000,0,1000
1740,1000,0,1000
1752,1000,0,1000
1763,1000,0,1000
1775,0,1000,0
1786,0,1000,0
1797,0,1000,0
1808,0,1000,0
1819,0,1000,0
1830,0,1000,0
1841,0,1000,0
1853,0,1000,0
1864,0,1000,0
1875,0,1000,0
1886,0,1000,0
1897,0,1000,0
1908,0,1000,0
1920,0,1000,0
1931,0,1000,0
1942,0,1000,0
1953,0,1000,0
1964,0,1000,0
1977,0,1000,0
1989,0,1000,0
2001,0,1000,0
2012,0,1000,0
2024,0,1000,0
2037,0,1000,0
2047,0,1000,0
2058,0,1000,0
2069,0,1000,0
2080,0,1000,0
2091,0,1000,0
2103,0,1000,0
2114,0,1000,0
2127,0,1000,0
2138,0,1000,0
2149,0,1000,0
2160,1000,1000,0
2172,1000,1000,0
2183,1000,1000,0
2196,1000,1000,0
2206,1000,1000,0
2217,1000,1000,0
2228,1000,1000,0
2239,1000,1000,0
2249,0,1000,1000
2262,0,1000,1000
2273,0,1000,1000
2284,0,1000,1000
2295,0,1000,1000
2306,0,1000,1000
2317,0,1000,1000
2328,0,1000,1000
2339,0,1000,1000
2351,0,1000,1000
2365,0,1000,1000
2375,0,1000,1000
2386,0,1000,1000
2396,0,1000,1000
2407,0,1000,1000
2418,0,1000,1000
2429,0,1000,0
2440,0,1000,0
2451,0,1000,0
2462,0,1000,0
2473,0,1000,0
2485,0,1000,0
2497,0,1000,0
2508,0,1000,0
2518,0,1000,0
2530,0,1000,0
2542,0,1000,0
2553,0,1000,0
2563,0,1000,0
2574,0,1000,0
2586,0,1000,0
2597,0,1000,0
2608,0,1000,0
2621,0,1000,1000
2632,0,1000,1000
2643,0,1000,1000
2654,0,1000,1000
2667,0,1000,1000
2678,0,1000,1000
2691,0,1000,1000
2704,0,1000,1000
2715,0,1000,1000
2727,0,1000,1000
2738,0,1000,1000
2751,0,1000,1000
2762,0,1000,1000
2774,0,1000,1000
2785,0,1000,1000
2795,0,1000,1000
2807,0,1000,1000
2817,0,1000,0
2831,0,1000,0
2842,0,1000,0
2854,0,1000,0
2866,0,1000,0
2878,0,1000,0
2890,0,1000,0
2901,0,1000,0
2913,0,1000,1000
2924,0,1000,1000
2937,0,1000,1000
2949,0,1000,1000
2960,0,1000,1000
2971,0,1000,1000
2982,0,1000,1000
2995,0,1000,1000
3006,0,1000,1000
3017,0,1000,1000
3028,0,1000,0
3040,0,1000,0
3051,0,1000,0
3064,0,1000,0
3075,0,1000,0
3086,0,1000,0
3098,0,0,0
3110,0,0,0
3122,0,0,0
3133,0,0,0
3145,0,0,0
3157,0,0,0
3169,0,0,0
3180,0,0,1000
3191,0,0,1000
3202,0,0,1000
3214,0,0,1000
3226,0,0,1000
3238,0,0,1000
3249,0,0,1000
3262,0,0,1000
3274,1000,1000,0
3285,1000,1000,0
3298,1000,1000,0
3309,1000,1000,0
3320,1000,1000,0
3333,1000,1000,0
3344,1000,1000,0
3355,1000,1000,0
