robot_name,cheesecake
time_ms,left,center,right
363,0,0,1000
374,0,0,1000
387,0,0,1000
398,0,0,1000
410,0,0,1000
422,0,0,1000
433,0,0,1000
445,0,0,1000
457,0,0,1000
469,0,0,1000
479,0,0,1000
492,0,0,1000
504,0,0,1000
516,0,0,1000
528,0,0,1000
539,0,0,1000
552,0,0,1000
564,0,0,1000
578,0,0,1000
591,0,0,1000
602,0,0,1000
615,0,0,1000
627,0,0,1000
639,0,0,1000
650,0,0,1000
661,0,0,1000
671,0,0,1000
682,0,0,1000
694,0,0,1000
706,0,0,1000
717,0,0,1000
728,0,0,1000
739,0,0,1000
750,0,0,1000
762,0,0,1000
773,0,0,1000
785,0,0,1000
796,0,0,1000
807,0,0,1000
819,1000,0,1000
829,1000,0,1000
841,1000,0,1000
854,1000,0,1000
865,1000,0,1000
876,1000,0,1000
887,1000,0,1000
899,1000,0,1000
911,1000,0,1000
921,1000,0,1000
933,1000,0,1000
945,1000,0,1000
955,1000,0,1000
967,1000,0,1000
979,1000,0,1000
990,1000,0,1000
1003,1000,0,1000
1013,1000,0,1000
1024,1000,0,1000
1036,1000,0,1000
1047,1000,0,1000
1058,1000,0,1000
1071,1000,0,1000
1082,1000,0,1000
1093,1000,0,1000
1104,1000,0,1000
1114,1000,0,1000
1125,1000,0,1000
1137,1000,0,1000
1149,1000,0,1000
1161,1000,0,1000
1172,1000,0,1000
1183,1000,0,1000
1196,1000,0,1000
1209,1000,0,1000
1220,1000,0,1000
1231,1000,0,1000
1243,1000,0,1000
1254,1000,0,1000
1267,1000,0,1000
1279,1000,0,1000
1292,1000,0,1000
1304,1000,0,1000
1317,1000,0,1000
1328,1000,0,1000
1341,1000,0,1000
1351,1000,0,1000
1363,1000,0,1000
1375,1000,0,1000
1386,1000,0,0
1397,1000,0,0
1409,1000,0,0
1420,1000,0,0
1433,1000,0,0
1444,1000,0,0
1455,1000,0,0
1466,1000,0,0
1479,1000,0,0
1490,1000,0,0
1501,1000,0,0
1512,1000,0,0
1523,1000,0,0
1534,1000,0,0
1546,1000,0,0
1558,1000,0,0
1570,1000,0,0
1582,1000,0,0
1592,1000,0,0
1603,1000,0,0
1614,1000,0,0
1626,1000,0,0
1638,1000,0,0
1649,1000,0,0
1660,1000,0,0
1672,1000,0,0
1683,1000,0,0
1694,1000,0,0
1707,1000,0,0
1718,0,0,0
1729,0,0,0
1741,0,0,0
1751,0,0,0
1762,0,0,0
1773,0,0,0
1784,0,0,0
1795,0,0,0
1807,0,0,0
1819,0,0,0
1832,0,0,0
1845,0,0,0
1857,0,0,0
1868,0,0,0
1878,0,0,0
1891,0,0,0
1902,1000,0,0
1913,1000,0,0
1925,1000,0,0
1936,1000,0,0
1947,1000,0,0
1959,1000,0,0
1972,1000,0,0
1983,1000,0,0
1996,1000,0,0
2008,1000,0,0
2019,1000,0,0
2031,1000,0,0
2042,0,0,0
2053,0,0,0
2064,0,0,0
2076,0,0,0
2089,0,0,0
2100,0,0,0
2111,0,0,0
2124,0,0,0
2135,0,0,0
2146,0,0,0
2157,0,0,0
2167,0,0,1000
2178,0,0,1000
2190,0,0,1000
2200,0,0,1000
2212,0,0,1000
2223,0,0,1000
2234,0,0,1000
2246,0,0,1000
2257,0,0,1000
2267,0,0,1000
2278,0,0,1000
2290,1000,0,0
2301,1000,0,0
2311,1000,0,0
2322,1000,0,0
2334,1000,0,0
2346,1000,0,0
2358,1000,0,0
2371,1000,0,0
2382,1000,0,0
2393,1000,0,0
2404,1000,0,0
2415,1000,0,0
2428,1000,0,0
2439,1000,0,0
2450,1000,0,0
2460,1000,0,0
2472,0,0,0
2482,0,0,0
2493,0,0,0
2506,0,0,0
2517,0,0,0
2529,0,0,0
2540,0,0,0
2551,0,0,1000
2564,0,0,1000
2575,0,0,1000
2585,0,0,1000
2597,0,0,1000
2609,0,0,1000
2620,1000,0,1000
2631,1000,0,1000
2643,1000,0,1000
2653,1000,0,1000
2664,1000,0,1000
2676,1000,0,1000
2687,1000,0,1000
2698,1000,0,1000
2710,1000,0,1000
2722,1000,0,1000
2733,1000,0,1000
2745,1000,0,1000
2756,1000,0,1000
2769,1000,0,1000
2780,1000,0,1000
2791,1000,0,1000
2802,1000,0,1000
2813,1000,0,1000
2824,1000,0,1000
2835,1000,0,1000
2845,1000,0,1000
2858,1000,0,1000
2869,1000,0,1000
2880,1000,0,1000
2892,1000,0,1000
2903,1000,0,1000
2914,1000,0,1000
2927,1000,0,1000
2938,1000,0,1000
2950,1000,0,1000
2962,1000,0,1000
2973,1000,0,1000
2984,1000,0,1000
2995,1000,0,1000
3007,1000,0,1000
3017,1000,0,1000
3029,1000,0,1000
3040,1000,0,1000
3053,1000,0,1000
3063,1000,0,1000
3075,1000,0,1000
3087,1000,0,1000
3098,1000,0,0
3110,1000,0,0
3123,1000,0,0
3134,1000,0,0
3145,1000,0,0
3158,1000,0,0
3170,1000,0,0
3181,0,0,1000
3192,0,0,1000
3203,0,0,1000
3216,0,0,1000
3229,0,0,1000
3240,0,0,1000
3253,0,0,1000
3264,0,0,1000
3276,1000,0,0
3287,1000,0,0
3299,1000,0,0
3311,1000,0,0
3324,1000,0,0
3336,1000,0,0
3349,1000,0,0
3361,1000,0,0
3373,1000,0,0
3386,1000,0,0
3396,0,0,0
3407,0,0,0
3419,0,0,0
3431,0,0,0
3442,0,0,0
3455,0,0,0
3466,0,0,0
3477,0,0,0
3489,0,0,0
3500,0,0,0
3511,0,0,0
3524,0,0,0
3536,0,0,0
3546,0,0,0
3559,0,0,0
3571,0,0,0
3582,0,0,0
3594,0,0,0
3607,0,0,1000
3619,0,0,1000
3629,0,0,1000
3640,0,0,1000
3650,0,0,1000
3662,0,0,1000
3673,0,0,1000
3685,0,0,1000
3696,1000,0,1000
3707,1000,0,1000
3719,1000,0,1000
3730,1000,0,1000
3741,1000,0,1000
3753,1000,0,1000
3764,1000,0,1000
3776,1000,0,1000
3787,1000,0,1000
3798,1000,0,1000
3809,1000,0,1000
3821,1000,0,1000
3832,1000,0,1000
3842,1000,0,0
3854,1000,0,0
3865,1000,0,0
3876,1000,0,0
3888,1000,0,0
3899,1000,0,0
3910,1000,0,0
3920,1000,0,0
3931,1000,0,0
3943,1000,0,0
3955,1000,0,0
3966,0,0,0
3979,0,0,0
3989,0,0,0
4001,0,0,0
4013,0,0,0
4024,0,0,0
4035,0,0,0
4048,0,0,0
4060,1000,0,0
4071,1000,0,0
4082,1000,0,0
4095,1000,0,0
4106,1000,0,0
4119,1000,0,0
4130,1000,0,0
4142,0,0,1000
4153,0,0,1000
4164,0,0,1000
4176,0,0,1000
4187,0,0,1000
4198,0,0,1000
4209,0,0,1000
4221,0,0,1000
4232,0,0,0
4242,0,0,0
4253,0,0,0
4265,0,0,0
4278,0,0,0
4289,0,0,0
4301,0,0,0
4312,0,0,0
4323,1000,0,1000
4333,1000,0,1000
4346,1000,0,1000
4357,1000,0,1000
4367,1000,0,1000
4377,1000,0,1000
4388,1000,0,1000
4399,1000,0,1000
4411,0,0,1000
4422,0,0,1000
4434,0,0,1000
4446,0,0,1000
4456,0,0,1000
4468,0,0,1000
4479,0,0,1000
4490,0,0,1000
4501,1000,0,1000
4513,1000,0,1000
4525,1000,0,1000
4536,1000,0,1000
4549,1000,0,1000
4562,1000,0,1000
4573,1000,0,1000
4583,1000,0,1000
4595,1000,0,1000
4606,1000,0,1000
4617,1000,0,1000
4629,0,0,1000
4641,0,0,1000
4651,0,0,1000
4663,0,0,1000
4674,0,0,1000
4686,0,0,1000
4698,0,0,1000
4709,0,0,1000
4719,0,0,1000
4731,0,0,1000
4742,0,0,1000
4753,0,0,1000
4763,0,0,1000
4775,0,0,1000
4786,0,0,1000
4798,0,0,1000
4809,1000,0,0
4820,1000,0,0
4832,1000,0,0
4843,1000,0,0
4855,1000,0,0
4867,1000,0,0
4878,1000,0,0
4890,1000,0,0
4902,1000,0,0
4913,1000,0,0
4924,1000,0,0
4936,1000,0,0
4948,1000,0,0
4960,1000,0,0
4971,1000,0,0
4982,1000,0,1000
4993,1000,0,1000
